T,TM,Tm,SLP,H,VV,V,VM
31.6,37.6,26.9,997.5,76,1.9,6.5,11.1
,,,,,,,
,,,,,,,
,,,,,,,
31.1,35,27.9,1000.1,81,1.9,7.2,11.1
30.3,35.8,27.2,997.5,78,1.9,7.6,14.8
29.2,35.4,24.6,996.4,81,1.8,7.4,14.8
,,,,,,,
,,,,,,,
,,,,,,,
31.8,36.7,25.8,998.8,75,1.9,8.3,14.8
31.1,37.2,28.2,997.5,76,1.9,3.9,11.1
31.7,37.2,26.8,998.3,78,1.9,7.8,11.1
,,,,,,,
,,,,,,,
,,,,,,,
30.9,35.4,25.8,995,77,1.9,10.4,18.3
26.8,35.4,24.2,999,93,1.1,6.3,14.8
29.1,33.8,23.9,996.3,86,1.4,2.6,55.4
,,,,,,,
,,,,,,,
,,,,,,,
28.5,34.4,26.3,995.5,87,1.6,7,14.8
30.4,35.1,24.8,995.2,77,1.9,5.2,14.8
30,35.5,26.2,997.5,83,1.9,3.7,11.1
,,,,,,,
,,,,,,,
,,,,,,,
29,33.7,26.9,996.5,82,1.9,9.8,14.8
31.1,34.9,25.9,998.2,76,1.9,6.7,11.1
31.8,36,27.5,999.6,71,1.9,11.7,18.3
32.2,36.1,27.4,1000.8,69,1.9,9.3,14.8
,,,,,,,
,,,,,,,
,,,,,,,
28.4,30.6,25.3,1001.8,88,1.4,3.1,7.6
28.1,30.8,25.8,1000.6,88,1.9,8,18.3
27.4,30.8,25.4,1000.8,90,1.9,3.1,9.4
,,,,,,,
,,,,,,,
,,,,,,,
30.1,34.6,27.2,1000,79,1.9,10.2,18.3
29.7,34.9,26.1,1000.3,79,1.9,8.3,18.3
27.7,30.7,24.8,1001.8,88,1.9,7.2,14.8
,,,,,,,
,,,,,,,
,,,,,,,
28.4,33.1,26,1000,86,1.9,5,18.3
27.4,33.5,24.4,999.1,90,1.1,5.4,18.3
29.2,34.4,24.8,999,81,2.1,7.8,29.4
,,,,,,,
,,,,,,,
,,,,,,,
30.4,36.5,27.8,999.3,82,1.4,2,7.6
32.1,36.7,26.8,998.1,74,1.9,6.5,14.8
32,35.5,27.6,999.8,65,2.6,16.9,29.4
,,,,,,,
,,,,,,,
,,,,,,,
29.1,34.2,25.9,1003.4,76,1.9,5.6,9.4
30.2,35.6,25.6,1003.6,68,3.1,14.8,22.2
31.7,35.9,27,1003.6,59,2.6,14.4,22.2
31.6,36.3,25.9,1002.7,58,2.7,15.4,25.9
,,,,,,,
,,,,,,,
,,,,,,,
30.9,35.6,25,1004.8,58,2.3,6.9,14.8
29.6,34.2,25.8,1007.3,67,1.9,6.3,14.8
29.3,35,24.1,1007.6,70,1.9,4.3,11.1
,,,,,,,
,,,,,,,
,,,,,,,
30.6,36,25.8,1007.2,74,1.6,2.8,7.6
31.2,36.4,25.8,1004.4,69,1.9,2,7.6
31.6,36.8,25.9,1001.5,63,2.4,3.9,11.1
,,,,,,,
,,,,,,,
,,,,,,,
29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6
28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9
26.3,34.1,24,1003.4,87,1.9,6.1,11.1
,,,,,,,
,,,,,,,
,,,,,,,
28.6,35.6,25.3,1005.4,79,2.6,5.7,13
28.6,34.5,24,1006.7,81,1.9,3.9,9.4
29,34.2,24.3,1005.8,76,1.9,7.4,20.6
,,,,,,,
,,,,,,,
,,,,,,,
29.1,34,23.8,1007.8,72,1.9,6.5,13
28.9,34.9,25.6,1009.5,68,2.6,7.6,13
27.9,33.7,23.2,1008.4,67,2.6,10,14.8
,,,,,,,
,,,,,,,
,,,,,,,
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5
30.1,34.5,24.8,1010,72,1.8,1.5,7.6
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1
,,,,,,,
,,,,,,,
,,,,,,,
27.4,33.1,22.8,1008,85,1.6,0.4,3.5
27.5,32.5,23,1007.1,80,1.8,6.1,18.3
26.6,32.6,21.1,1008.8,76,1.6,3.3,11.1
,,,,,,,
,,,,,,,
,,,,,,,
25.6,33.2,19.5,1011.5,67,1.4,3.7,14.8
25,32.8,17.6,1010.8,69,1.4,1.1,5.4
24.8,32.3,17.3,1009.7,68,1.4,1.5,7.6
,,,,,,,
,,,,,,,
,,,,,,,
24.1,30,17.5,1011.2,74,1,1.5,9.4
24.3,31.4,18.5,1011.2,72,1.1,0.4,3.5
23,31,18,1010.6,71,0.8,2.6,9.4
,,,,,,,
,,,,,,,
,,,,,,,
24.1,30.1,16.7,1014,62,1.4,3.3,11.1
23.8,30.5,18.4,1013.5,71,1.6,1.3,3.5
22.4,28.6,16.3,1014.6,67,1,5.4,11.1
20.9,28.1,13.6,1016,59,0.8,6.3,18.3
,,,,,,,
,,,,,,,
,,,,,,,
20.1,27.1,14,1015.5,78,0.6,3.9,11.1
18.9,27.1,14.5,1015.2,80,0.6,1.3,7.6
19.1,25.6,12.4,1016.6,79,0.8,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
17.8,26.2,11,1014.3,68,1,3,11.1
17.6,25.6,11.2,1015.2,68,1.1,3.5,14.8
17,26.6,10,1016.5,70,1.1,0.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
17.8,26.9,11.4,1015.4,67,1.4,7.2,20.6
18.2,28.1,10.4,1012.6,61,1.8,2.6,11.1
18,28.5,10.2,1013.2,68,1.1,2,11.1
,,,,,,,
,,,,,,,
,,,,,,,
21.1,28.8,13.8,1012.8,57,1.6,9.4,22.2
21.3,28.8,15,1011.9,58,1.9,9.6,16.5
19,28.8,12.5,1014.7,72,1.6,2.8,9.4
,,,,,,,
,,,,,,,
,,,,,,,
18.1,28,10,1016.1,66,1.4,1.7,7.6
17.2,28.4,9.8,1015.8,73,1.1,1.9,11.1
17.4,28.4,9.2,1016.6,74,1.1,1.5,11.1
,,,,,,,
,,,,,,,
,,,,,,,
16,26.1,9.1,1014.4,81,1,1.1,5.4
16.6,26.2,9.6,1013.9,85,0.6,0,-
16.2,25.3,9.5,1013.4,81,0.8,2.2,14.8
,,,,,,,
,,,,,,,
,,,,,,,
16.5,24.5,10.8,1012.2,74,1.6,10.2,22.2
15.4,24.9,8.2,1012.8,82,1,0.7,3.5
15.5,24.9,9.4,1015.1,88,0.6,2.6,7.6
,,,,,,,
,,,,,,,
,,,,,,,
16.3,22.4,10.8,1012.8,91,0.6,3.1,11.1
15.4,19.7,11.6,1016,93,0.6,4.4,9.4
14.6,15.9,12.5,1016.9,95,0.5,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
13.6,20.4,7.5,1020.7,67,1.1,10.2,40.7
12.3,20.6,6.2,1019.4,71,1.3,4.4,18.3
11.9,17.1,6.5,1018.6,84,1.1,1.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
14.3,19.2,10.9,1020.5,91,1.6,4.8,11.1
